category,device,pps_idle,pps_var_idle,size_mean_idle,size_var_idle,proto_tls_idle,proto_tcp_idle,proto_udp_idle,proto_mdns_idle,proto_ssdp_idle,proto_arp_idle,proto_dhcp_idle,proto_other_idle,inout_ratio_idle,num_packets_idle,burst_count_idle,size_kurt_idle,num_flows_idle,mean_pkts_per_flow_idle,top_flow_frac_idle,flow_entropy_idle,num_dst_ips_idle,num_dst_ports_idle,iat_mean_idle,iat_var_idle,pps_active,pps_var_active,size_mean_active,size_var_active,proto_tls_active,proto_tcp_active,proto_udp_active,proto_mdns_active,proto_ssdp_active,proto_arp_active,proto_dhcp_active,proto_other_active,inout_ratio_active,num_packets_active,burst_count_active,size_kurt_active,num_flows_active,mean_pkts_per_flow_active,top_flow_frac_active,flow_entropy_active,num_dst_ips_active,num_dst_ports_active,iat_mean_active,iat_var_active,bts_idle,bts_active
tv,appletv,0.28191246384639423,82.53557422969189,496.0791245791246,210755.02071019355,0.025252525252525252,0.0,0.0,0.6060606060606061,0.0,0.0,0.003367003367003367,0.3653198653198653,9.395302348825587e-05,594,10,-0.06697140092163378,20,29.7,0.6060606060606061,1.7132667208338639,9,19,3.5531821721319807,808.1175299195748,0.5059400906060638,443.9487004103966,362.866048862679,219981.22909086774,0.5686604886267902,0.0,0.0,0.05054759898904802,0.0,0.0,0.0016849199663016006,0.37910699241786017,0.0005476500516170168,1187,14,0.8712588478601693,71,16.718309859154928,0.05054759898904802,4.08783569119503,13,48,1.9781851426746955,239.9241938979563,459.3625379646331,469.5275057897408
tv,LGtv,2.6299111894517826,110.07054133687679,163.34555555555556,34789.5924314265,0.08015873015873017,0.0,0.0,0.005079365079365079,0.02396825396825397,0.0,0.0025396825396825397,0.8882539682539683,0.002263883341782641,6300,135,20.360817176567902,677,9.30576070901034,0.06571428571428571,5.335212899018276,54,333,0.3803013422542535,1.7812940262433852,560.4879960805379,572348.1986432235,1093.0348923876159,407881.40453291015,0.9954543493493568,0.0,0.0,1.7852334415879057e-05,0.00011008939556458751,0.0,1.0413861742596116e-05,0.004407295058920142,0.7120604211427262,1344362,280,-1.054526288961735,2114,635.9328287606434,0.6662320119134578,1.140079614324733,55,1016,0.0017841608577539067,0.0013935253763387022,189.14959495346233,1199.1439320373802
tv,samsungtv,11.953214121765162,16446.445546687733,1021.043294430079,412940.16400594753,0.9488783283248305,0.0,0.0,0.021105597875462994,0.0,0.0,0.0005590886854427283,0.02945698511426375,0.020076896148548205,28618,71,-1.398246680646658,57,502.0701754385965,0.35862044866867004,2.0511234775896816,21,42,0.0836624303787023,0.5255211592492844,167.39761818237196,41980.062820754116,933.1591857764769,313304.236410739,0.9929086487603203,0.0,0.0,0.001139992582581013,0.0,0.0,3.982506838710962e-05,0.005911533588711585,0.2579596342131005,401757,235,-1.2317760515099865,125,3214.056,0.6216344705879424,1.3737121393250928,36,310,0.005973815517395913,0.008283297638728046,654.5574189056645,727.133481255964
tv,samsungtvsmall,2.4832989202172495,31.149501551395584,220.9005877413938,65092.31124419599,0.16826196473551638,0.0,0.0,0.0006717044500419815,0.020151133501259445,0.0,0.002686817800167926,0.8082283795130143,0.0006943498030851812,5955,66,16.273616593671996,100,59.55,0.40235096557514693,2.565458289363509,38,94,0.4027577776375496,0.40894221324324465,144.64598726766278,49617.0993092616,974.4751297023399,373480.45569664205,0.9833698698799623,0.0,0.0,1.1522695388905373e-05,0.0004609078155562149,0.0,4.609078155562149e-05,0.016111608827536938,0.21834268474002366,347141,545,-1.37932210724804,232,1496.2974137931035,0.6527808584984199,1.0600873914917386,78,435,0.006913450553119543,0.0058353655742814725,257.6152476138217,755.7764608137314
tv,tclroku,0.6611717257708871,87.17088664759896,333.18176060797975,178264.24134011753,0.27612412919569346,0.0,0.0,0.36858771374287524,0.060797973400886635,0.0,0.02026599113362888,0.27422419252691577,0.00042051976642674065,1579,29,1.9706579135002729,105,15.038095238095238,0.3546548448385054,3.2858897954153536,21,115,1.5134248404146298,25.713314432621885,115.04188996888342,126399.53977727557,1199.163415263133,214874.15416025187,0.9961462604924505,0.0,0.0,0.0020049615534093426,0.0002578845476305495,0.0,0.00011622965527010683,0.0014746637512394803,0.2294913806484205,275317,239,1.9951934823870334,223,1234.6053811659192,0.7776998877657392,1.0527523065678461,68,617,0.008692517416572357,0.03291586159565815,422.8746738074991,578.5870918211428
tv,toshiba,2.2423855122463894,250.1147762910529,321.7882308845577,38661.07417074031,0.041604197901049474,0.0,0.0,0.0,0.49943778110944526,0.0,0.0029985007496251873,0.45595952023988007,0.00230403030831734,5336,83,15.830846293846891,194,27.50515463917526,0.3448275862068966,2.7402096914578262,16,114,0.44603723845084137,4.913237496264886,154.95539698117858,58430.64209931221,1112.6996855472796,279123.11932475405,0.9722802798602312,0.0,0.0,0.0,0.006681784068625473,0.0,4.3038866786637505e-05,0.02099489720435661,0.2874508556213473,371757,508,-0.03297091390268392,266,1397.5827067669172,0.7258989070817765,1.18836042322321,58,502,0.006453487322276834,0.0016574319780423346,198.86658079538114,683.2764351054936
appliance,cosori,0.19713567516545713,0.31348935847913356,97.99574468085106,2778.3667195935213,0.0,0.0,0.0,0.0,0.0,0.0,0.03404255319148936,0.9659574468085106,0.00016095026636769237,470,1,14.10106859693514,4,117.5,0.6404255319148936,0.7893959791097818,3,4,5.083464448131732,52.49879357380863,0.5873875726517163,1.1130734313196036,204.6445868945869,33081.2727361799,0.0,0.0,0.0,0.0,0.0,0.0,0.011396011396011397,0.9886039886039886,0.0007885150632361098,1404,0,-1.555914404201189,4,351.0,0.5562678062678063,0.747680846078073,3,4,1.7036668887243727,9.860530094150546,52.90735024116321,182.4699671018081
appliance,honeywell,0.3739227654942265,0.5,345.3333333333333,135507.66666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.999950000499995e-06,15,0,-1.4784832897529343,2,7.5,0.6666666666666666,0.6365141682948128,2,2,2.865374003137861,42.20370741810105,0.09440800410997993,6.072534332084895,210.66816143497758,86785.39389164951,0.26905829596412556,0.0,0.0,0.0,0.0,0.0,0.07174887892376682,0.6591928251121076,0.00010298764148302204,223,7,7.600077408351256,12,18.583333333333332,0.3452914798206278,1.9145273164370888,5,10,10.640035386558052,364.4604083384972,368.48758274929145,294.68801603328893
appliance,levoit,0.3331616760478254,12.998535564853555,136.2092731829574,27536.86079219378,0.0,0.0,0.0,0.0,0.0,0.0,0.10025062656641603,0.899749373433584,0.0003188625702322299,798,10,22.233547376386802,21,38.0,0.06892230576441102,2.940853230348458,6,19,3.005311766412656,33.40361301464132,0.32876728106817366,11.270024465482395,135.96296296296296,29428.662309368192,0.0,0.0,0.0,0.0,0.0,0.0,0.09323116219667944,0.9067688378033205,0.00031386597922687014,783,21,24.035337842989065,23,34.04347826086956,0.08556832694763729,2.9331819642177326,7,22,3.0455548043751044,33.196073580561894,166.2755034462958,171.87660990629092
appliance,swan,0.09189975131806419,5.741815476190476,135.59701492537314,41179.98179104478,0.13930348258706468,0.0,0.0,0.0,0.0,0.0,0.07960199004975124,0.7810945273631841,9.598992105828888e-05,201,2,29.08059641122027,20,10.05,0.16417910447761194,2.301925073616892,11,25,10.935829374790192,1479.9804797245636,0.0807904166687581,1.8699436763952888,124.19786096256685,18942.062791098844,0.0,0.0,0.0,0.0,0.0,0.0,0.0962566844919786,0.9037433155080213,8.899127885467224e-05,187,2,27.0048925466202,22,8.5,0.18716577540106952,2.1750629790075906,12,25,12.444252493560954,994.8394953758152,203.0204137434251,137.71095713566552
